Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 31,1968,2863,4%,23%,1.05,2.11,4%,6%,2%,106,159,7,14,0.21,0.04,0.02,0.02,0.01,0.02,0,3,0.78,0.26,0.12,0.78,0.03,0.02,0,0,0.48,0.88,0
Level 32,1898,3269,5%,22%,1.27,3.05,13%,9%,6%,157,187,4,52,0.15,0.07,0.03,0.07,0.02,0.03,0.04,6,2.15,0.37,0.14,1.29,0.11,0.06,0,0,0.37,1.58,2
Level 33,1809,2757,2%,21%,1.1,2.44,7%,10%,4%,135,158,7,43,0.18,0.08,0.02,0.06,0.02,0.02,0.02,4,1.33,0.21,0.05,0.83,0.07,0.01,0,0,0.4,1.2,2
Level 34,1775,2482,1%,21%,1,1.94,1%,2%,3%,109,199,9,7,0.11,0.01,0.01,0.01,0,0.02,0.01,8,2.1,0.63,0.21,1.67,0.1,0.1,0,0,0.55,1.13,0
Level 35,1750,2495,1%,20%,1.02,2.05,3%,3%,3%,114,155,7,76,0.1,0.01,0.01,0.01,0.01,0.02,0.02,6,1.33,0.55,0.2,1.3,0.11,0.1,0,0,0.57,1.01,2
Level 36,1730,2511,2%,20%,1.04,2.14,5%,5%,2%,131,170,7,20,0.11,0.03,0.02,0.02,0.01,0.01,0.01,8,2.19,0.59,0.15,1.81,0.1,0.08,0,0,0.56,1.63,0
Level 37,1687,2771,2%,20%,1.19,2.97,14%,11%,7%,168,187,4,62,0.15,0.11,0.04,0.07,0.03,0.02,0.01,10,2.24,0.71,0.27,1.93,0.12,0.21,0,0,0.42,2.06,1
Level 38,1645,2347,2%,19%,1.02,2.06,2%,4%,4%,125,147,7,25,0.15,0.02,0.01,0.02,0.01,0.01,0.01,6,1.81,0.39,0.11,1.48,0.08,0.08,0,0,0.54,1.51,0
Level 39,1615,2649,2%,19%,1.17,3.12,18%,11%,8%,189,184,3,26,0.18,0.07,0.03,0.04,0.04,0.06,0.02,8,2.03,0.54,0.15,1.63,0.13,0.14,0,0,0.37,2.58,1
Level 40,1580,2228,1%,18%,1,1.93,0%,1%,0%,43,,0,,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.77,0
Level 41,1560,2210,1%,18%,1,1.96,0%,2%,3%,93,142,11,2,0.14,0.02,0,0.01,0,0.02,0.01,5,1.65,0.32,0.1,0.99,0.05,0.05,0,0,0.45,0.85,0
Level 42,1548,2253,1%,18%,1.03,2.17,6%,4%,2%,126,154,5,19,0.14,0.02,0.01,0.02,0,0.02,0.01,7,1.79,0.43,0.14,1.47,0.07,0.08,0,0,0.55,1.28,1
Level 43,1529,2222,1%,18%,1.03,2.12,4%,3%,3%,119,173,8,2,0.15,0.02,0.01,0.01,0,0.02,0.01,6,1.8,0.49,0.14,1.23,0.09,0.08,0,0,0.56,1.38,0
Level 44,1507,2231,4%,17%,1.05,2.27,8%,4%,3%,138,179,5,79,0.15,0.03,0.02,0.02,0.01,0.02,0.01,8,2.08,0.64,0.21,1.67,0.09,0.13,0,0,0.73,1.45,0
Level 45,1443,3108,5%,17%,1.59,6.03,23%,12%,6%,209,175,2,77,0.21,0.1,0.04,0.07,0.05,0.04,0.02,10,2.03,0.82,0.26,2.14,0.17,0.24,0,0,0.33,2.72,1
Level 46,1369,2003,2%,16%,1.03,2.15,3%,2%,3%,111,157,8,8,0.1,0.02,0,0.01,0,0.02,0.02,6,1.8,0.36,0.09,1.33,0.06,0.05,0,0,0.44,1.29,0
Level 47,1348,2001,1%,16%,1.05,2.18,3%,3%,1%,133,186,8,2,0.15,0.02,0.01,0.01,0.01,0.01,0,7,2.35,0.35,0.07,1.47,0.06,0.04,0,0,0.43,1.7,0
Level 48,1336,2022,6%,15%,1.07,2.44,8%,7%,2%,157,176,5,30,0.12,0.05,0.02,0.05,0.02,0.02,0.01,11,3.12,0.76,0.32,1.91,0.12,0.23,0,0,0.36,2.09,2
Level 49,1253,3102,8%,14%,1.85,6,18%,16%,7%,253,234,3,162,0.18,0.16,0.06,0.12,0.05,0.05,0.04,8,2.83,0.42,0.14,1.54,0.12,0.14,0,0,0.12,5.12,5
Level 50,1148,1739,1%,13%,1.06,2.39,4%,8%,2%,155,215,14,14,0.16,0.06,0.03,0.03,0.01,0.02,0.01,3,1.31,0.07,0.01,0.54,0.04,0.02,0,0,0.24,1.65,0
Level 51,1134,1632,1%,13%,1.01,2.08,1%,1%,2%,85,120,9,16,0.09,0,0,0,0,0.01,0.01,4,1.2,0.23,0.07,0.87,0.05,0.02,0,0,0.26,0.53,0
Level 52,1124,1634,1%,13%,1.02,2.23,5%,3%,2%,122,158,5,17,0.11,0.01,0.01,0.01,0,0.02,0.01,6,1.66,0.37,0.11,1.16,0.07,0.06,0.02,0.19,0.26,1.37,0
Level 53,1118,1732,1%,13%,1.08,2.4,4%,7%,2%,125,199,8,13,0.15,0.03,0.02,0.02,0.01,0.02,0.01,4,1.9,0.09,0.01,0.74,0.05,0.02,0.03,0.18,0.25,1.04,0
Level 54,1104,1629,6%,13%,1.03,2.29,4%,6%,2%,142,179,7,17,0.12,0.04,0.01,0.02,0.01,0.01,0.01,8,2.61,0.53,0.16,1.61,0.09,0.08,0.02,0.17,0.48,1.54,0
Level 55,1040,3374,12%,12%,2.47,9.07,17%,15%,7%,226,210,4,74,0.19,0.21,0.09,0.1,0.06,0.05,0.03,4,2.09,0.09,0.01,0.87,0.09,0.07,0.02,0.05,0.11,3.21,3
Level 56,920,1368,2%,11%,1.01,2.2,1%,2%,2%,117,231,11,149,0.14,0.01,0,0.01,0,0.01,0.01,6,1.97,0.41,0.1,1.46,0.08,0.05,0.02,0.14,0.26,0.96,0
Level 57,903,1544,2%,10%,1.18,3.06,12%,10%,3%,174,202,4,22,0.16,0.07,0.04,0.04,0.03,0.01,0.01,5,1.74,0.24,0.05,1.03,0.09,0.05,0.02,0.12,0.2,1.52,0
Level 58,883,1478,7%,10%,1.15,3.06,14%,6%,2%,195,187,4,108,0.16,0.05,0.02,0.04,0.03,0.02,0.01,14,3.82,0.89,0.43,2.51,0.17,0.3,0.03,0.12,0.19,2.53,0
Level 59,821,2514,9%,9%,2.28,11.86,20%,20%,6%,244,205,3,48,0.23,0.22,0.11,0.13,0.08,0.04,0.03,6,2.1,0.24,0.06,1.42,0.12,0.09,0.03,0.07,0.08,3.87,5
Level 60,745,1112,1%,9%,1.02,2.36,0%,1%,0%,53,209,0,,0.11,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.16,0.24,0.61,0
Level 61,739,1128,0%,9%,1.04,2.47,1%,3%,2%,104,169,10,1,0.17,0.01,0.01,0.01,0.01,0.02,0.02,7,1.16,0.52,0.11,1.77,0.15,0.07,0.02,0.16,0.24,1.16,0
Level 62,736,1137,2%,9%,1.05,2.64,4%,5%,3%,131,244,5,4,0.18,0.02,0,0.04,0.02,0.01,0.01,10,1.95,0.75,0.31,2.46,0.13,0.2,0.03,0.16,0.26,1.37,0
Level 63,723,1249,2%,8%,1.18,3.56,16%,14%,3%,188,204,7,3,0.21,0.07,0.06,0.05,0.05,0.02,0.02,5,2.03,0.15,0.02,0.82,0.07,0.03,0.04,0.12,0.21,2.33,0
Level 64,710,1167,3%,8%,1.12,2.8,8%,3%,4%,166,215,7,50,0.13,0.01,0.02,0.02,0.01,0.02,0.03,6,2.5,0.22,0.03,1.02,0.09,0.04,0.03,0.12,0.4,1.58,0
Level 65,691,1469,2%,8%,1.46,5.27,19%,18%,9%,258,241,3,47,0.24,0.16,0.08,0.07,0.08,0.05,0.06,5,2.07,0.22,0.03,1.14,0.15,0.07,0.04,0.1,0.19,4.53,2
Level 66,677,1035,2%,8%,1.04,3.06,14%,10%,4%,195,227,3,18,0.23,0.04,0.02,0.03,0.07,0.01,0.03,8,2.62,0.41,0.1,1.73,0.12,0.08,0.04,0.14,0.26,2.56,0
Level 67,666,1081,1%,8%,1.11,3.09,13%,8%,5%,158,201,5,42,0.13,0.05,0.03,0.03,0.03,0.02,0.03,8,2.4,0.46,0.19,1.4,0.1,0.09,0.03,0.13,0.23,1.93,0
Level 68,658,1033,5%,8%,1.07,2.93,16%,10%,2%,145,181,6,16,0.06,0.07,0.03,0.04,0.02,0.02,0.02,6,2.24,0.34,0.08,1.19,0.07,0.03,0.04,0.12,0.23,1.5,0
Level 69,627,2997,15%,7%,3.67,19.46,14%,14%,8%,252,201,4,103,0.17,0.19,0.09,0.12,0.08,0.05,0.04,2,1.49,0.06,0.01,0.43,0.08,0.05,0.02,0.04,0.04,3.76,3
Level 70,535,1119,1%,6%,1.41,5.49,27%,14%,5%,211,172,3,28,0.16,0.06,0.06,0.05,0.04,0.03,0.02,13,2.62,0.87,0.45,2.07,0.19,0.35,0.05,0.11,0.13,2.66,1
Level 71,532,877,0%,6%,1.1,2.63,1%,0%,2%,88,176,6,1,0.08,0,0,0,0,0.01,0.01,2,0.51,0.11,0.03,0.38,0.01,0.01,0.02,0.13,0.16,0.51,0
Level 72,531,810,1%,6%,1.03,2.55,3%,3%,1%,98,145,5,2,0.05,0.01,0.01,0.01,0.01,0.01,0,5,1.55,0.4,0.13,1.06,0.07,0.05,0.02,0.13,0.17,0.88,0
Level 73,526,813,0%,6%,1.03,2.44,0%,1%,2%,86,242,11,,0.04,0,0.01,0,0,0.01,0.01,4,1.29,0.22,0.06,0.95,0.04,0.03,0.02,0.14,0.18,0.75,0
Level 74,524,864,6%,6%,1.11,2.78,3%,4%,2%,135,196,10,1,0.09,0.03,0.01,0.01,0.01,0.01,0.01,5,1.5,0.35,0.09,1.1,0.09,0.05,0.03,0.13,0.43,1.43,0
Level 75,495,2043,12%,6%,3.09,24.91,22%,9%,5%,271,195,2,244,0.19,0.11,0.02,0.05,0.04,0.03,0.03,7,1.78,0.46,0.22,1.34,0.15,0.2,0.02,0.04,0.09,3.63,5
Level 76,436,703,1%,5%,1.07,3.35,8%,14%,3%,171,189,9,33,0.19,0.07,0.05,0.06,0.04,0.02,0.02,3,1.17,0.08,0.01,0.43,0.05,0.02,0.04,0.11,0.23,2.13,2
Level 77,432,693,0%,5%,1.06,3.07,6%,5%,3%,161,219,9,20,0.03,0.03,0.02,0.02,0.01,0.03,0.01,11,2.22,1.07,0.45,2,0.23,0.33,0.04,0.12,0.22,1.64,0
Level 78,431,682,1%,5%,1.05,3.33,12%,11%,2%,163,206,6,5,0.16,0.09,0.04,0.03,0.02,0,0.02,9,2.52,0.58,0.19,1.76,0.12,0.11,0.02,0.12,0.22,1.94,0
Level 79,427,1160,3%,5%,1.83,7.73,21%,14%,6%,265,232,4,108,0.15,0.12,0.06,0.13,0.06,0.04,0.04,7,1.99,0.31,0.07,1.44,0.14,0.1,0.03,0.07,0.08,5.73,0
