Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 123,130,223,2%,2%,1.1,10.62,25%,41%,10%,188,244,5,36,0.24,0.29,0.24,0.47,0.18,0.1,0.06,12,2.56,0.6,0.39,2.08,0.17,0.32,0.03,0.08,0.12,3.72,0
Level 124,128,222,2%,1%,1.11,7.93,12%,24%,2%,193,245,6,104,0.24,0.28,0.18,0.4,0.06,0.02,0.02,11,2.5,0.66,0.3,2.04,0.22,0.21,0.03,0.08,0.2,3.59,1
Level 125,125,215,0%,1%,1.09,7.96,24%,29%,9%,199,319,8,69,0.13,0.16,0.24,0.42,0.16,0.09,0.04,12,2.5,0.7,0.46,2.07,0.22,0.4,0.04,0.09,0.15,5.1,0
Level 126,125,217,0%,1%,1.1,7.23,20%,20%,0%,201,271,5,60,0.22,0.14,0.14,0.27,0.12,0,0,14,2.24,0.77,0.34,2.1,0.2,0.31,0.04,0.09,0.15,4.81,0
Level 127,125,213,1%,1%,1.08,7.1,17%,21%,2%,182,213,6,98,0.17,0.19,0.06,0.23,0.15,0.02,0.02,13,2.55,0.69,0.23,1.99,0.18,0.18,0.04,0.08,0.18,4.23,0
Level 128,124,215,2%,1%,1.1,7.41,19%,21%,4%,185,239,6,77,0.13,0,0.06,0.23,0.04,0.02,0.04,11,2.29,0.91,0.29,2.02,0.23,0.23,0.02,0.07,0.16,3.47,0
Level 129,121,212,0%,1%,1.11,7.07,12%,24%,4%,180,200,6,40,0.14,0.18,0.14,0.18,0.04,0.04,0.04,11,2.57,0.7,0.26,2.09,0.16,0.17,0.03,0.08,0.17,3.29,0
Level 130,121,218,0%,1%,1.15,7.79,20%,29%,4%,181,290,7,74,0.31,0.14,0.04,0.37,0.16,0.04,0.04,12,2.76,0.84,0.28,1.95,0.22,0.22,0.03,0.07,0.17,4.77,0
Level 131,121,217,-2%,1%,1.14,7.23,26%,23%,7%,186,263,6,15,0.16,0.08,0.16,0.2,0.05,0.05,0.05,11,2.92,0.8,0.25,2.09,0.19,0.21,0.03,0.08,0.15,3.97,0
Level 132,123,226,2%,1%,1.17,7.29,14%,15%,6%,187,204,7,327,0.14,0.1,0.06,0.17,0.08,0.04,0.03,10,2.7,0.64,0.21,1.67,0.17,0.2,0.03,0.09,0.15,2.83,10
Level 133,120,209,0%,1%,1.09,7.46,20%,24%,2%,200,188,6,186,0.19,0.28,0.04,0.11,0.13,0.02,0,12,2.44,0.78,0.39,1.95,0.19,0.31,0.02,0.1,0.17,3.89,3
Level 134,120,233,0%,1%,1.23,8.32,11%,15%,3%,189,186,7,285,0.11,0.04,0.07,0.28,0.04,0.01,0.01,9,2.06,0.66,0.27,2.08,0.13,0.21,0.02,0.08,0.14,4.73,12
Level 135,120,215,2%,1%,1.13,8.27,26%,26%,4%,198,248,6,41,0.09,0.19,0.07,0.13,0.15,0.02,0.02,14,2.62,0.67,0.31,1.95,0.17,0.25,0.02,0.11,0.18,4.3,1
Level 136,118,211,1%,1%,1.12,6.03,14%,10%,4%,190,260,7,33,0.14,0.04,0.06,0.27,0,0,0,11,2.41,0.69,0.33,2.02,0.16,0.25,0.03,0.11,0.15,4.71,1
Level 137,117,214,0%,1%,1.15,6.69,17%,19%,12%,188,226,8,75,0.08,0.13,0.19,0.15,0.12,0.06,0.08,12,2.56,0.89,0.43,2.08,0.24,0.36,0.02,0.1,0.13,3.84,0
Level 138,117,208,2%,1%,1.12,7.7,25%,19%,4%,191,213,6,92,0.21,0.02,0.08,0.25,0.02,0,0.04,13,2.56,0.81,0.38,2.23,0.19,0.26,0.01,0.09,0.1,4.94,0
Level 139,115,213,0%,1%,1.18,7.61,18%,23%,9%,195,246,5,44,0.3,0.2,0.02,0.18,0.09,0.05,0.05,11,2.71,0.68,0.37,1.97,0.16,0.27,0.04,0.09,0.15,4.14,0
Level 140,115,203,1%,1%,1.12,8.46,14%,28%,6%,140,215,5,91,0.2,0.32,0.18,0.18,0.02,0.04,0.04,8,1.6,0.33,0.28,1.15,0.05,0.24,0.02,0.09,0.17,3.42,1
Level 141,114,203,2%,1%,1.13,7,14%,12%,6%,188,139,7,67,0.18,0.08,0.06,0.06,0.02,0.02,0.02,12,2.24,0.6,0.38,2.02,0.2,0.35,0.03,0.07,0.12,3.37,1
Level 142,112,194,0%,1%,1.1,7.19,13%,13%,9%,203,286,6,63,0.38,0.09,0,0.11,0.16,0.07,0.04,13,2.5,0.95,0.44,2.21,0.27,0.34,0.06,0.07,0.14,3.89,0
Level 143,112,202,0%,1%,1.14,7.77,22%,22%,17%,173,297,7,21,0.15,0.15,0.15,0.24,0.17,0.05,0.07,12,2.1,0.73,0.33,1.96,0.2,0.25,0.03,0.06,0.14,4.53,0
Level 144,112,217,1%,1%,1.23,8.35,15%,19%,9%,186,218,7,71,0.22,0.07,0.09,0.3,0.09,0.04,0.02,10,2.51,0.63,0.27,1.78,0.16,0.21,0.04,0.06,0.14,4.21,0
Level 145,111,198,1%,1%,1.13,6.6,19%,17%,11%,186,248,6,38,0.26,0.04,0.15,0.04,0.09,0.06,0.06,12,2.43,0.9,0.41,2.19,0.24,0.31,0.03,0.06,0.15,3.84,0
Level 146,110,192,0%,1%,1.1,7.68,12%,26%,5%,189,224,6,50,0.12,0.07,0.02,0.26,0.07,0.02,0,12,2.53,0.68,0.27,1.86,0.2,0.28,0.04,0.08,0.11,3.44,0
Level 147,110,208,0%,1%,1.2,6.93,8%,13%,2%,175,245,6,133,0.06,0.06,0.02,0.15,0.02,0.02,0,12,2.48,0.78,0.42,1.96,0.28,0.32,0.02,0.07,0.12,3.62,1
Level 148,110,210,1%,1%,1.21,7.5,20%,14%,7%,169,251,8,46,0.18,0.04,0.05,0.09,0.05,0.04,0.05,10,2.11,0.77,0.29,2.08,0.19,0.21,0.03,0.07,0.1,3.04,0
Level 149,109,183,1%,1%,1.06,7.63,24%,19%,7%,206,231,8,37,0.19,0.07,0.1,0.19,0.05,0.05,0.05,13,2.59,0.75,0.33,2.22,0.3,0.27,0.04,0.08,0.12,5.32,0
Level 150,108,175,1%,1%,1.02,7.95,21%,23%,5%,184,259,7,62,0.23,0.33,0,0.08,0.26,0.05,0.03,13,2.51,0.88,0.39,2.02,0.23,0.3,0.05,0.07,0.11,3.59,0
Level 151,107,194,1%,1%,1.15,8.43,16%,19%,8%,195,249,6,91,0.05,0.05,0.11,0.11,0,0.08,0.03,12,2.61,0.8,0.42,2.14,0.21,0.31,0.04,0.07,0.11,4.86,0
Level 152,106,188,0%,1%,1.13,9.4,24%,22%,5%,172,234,7,64,0.11,0.19,0.05,0.11,0.11,0.03,0.03,12,2.26,0.77,0.28,2.07,0.22,0.2,0.03,0.1,0.1,3.36,0
Level 153,106,190,1%,1%,1.14,8.26,11%,27%,11%,181,218,6,41,0.04,0.18,0.22,0.4,0.09,0.07,0.07,11,2.37,0.82,0.31,2.11,0.19,0.18,0.04,0.1,0.12,4.93,0
Level 154,105,176,0%,1%,1.07,6.52,11%,14%,11%,198,210,7,126,0.08,0.08,0,0.11,0.08,0.08,0.06,15,2.43,0.95,0.34,2.3,0.33,0.29,0.04,0.1,0.14,4.37,1
Level 155,105,174,0%,1%,1.07,6.96,18%,16%,5%,192,264,6,138,0.21,0,0.03,0.05,0.13,0.05,0.03,15,2.74,0.93,0.41,2.15,0.22,0.35,0.05,0.09,0.12,4.22,0
Level 156,105,198,0%,1%,1.2,6.83,19%,7%,7%,181,255,5,26,0.24,0.1,0.02,0.05,0.02,0.02,0.02,12,2.45,0.72,0.29,2.18,0.24,0.21,0.03,0.07,0.1,3.1,0
Level 157,105,180,0%,1%,1.09,6.92,13%,18%,5%,193,182,6,31,0.26,0.24,0.08,0.24,0,0.03,0,13,2.73,0.81,0.43,2.13,0.24,0.35,0.05,0.08,0.12,3.55,0
Level 158,105,177,1%,1%,1.07,8.85,13%,31%,5%,195,314,5,59,0.28,0.28,0.1,0.23,0.18,0.03,0,13,2.84,0.69,0.29,1.88,0.19,0.21,0.06,0.08,0.12,3.77,0
Level 159,104,185,2%,1%,1.13,8.81,24%,13%,9%,191,200,8,72,0.47,0.04,0.04,0.16,0,0.04,0.04,14,2.48,0.64,0.32,2.06,0.31,0.22,0.05,0.07,0.12,5.18,0
Level 160,102,171,3%,1%,1.06,7.77,19%,22%,6%,138,177,5,95,0.39,0.14,0.06,0.5,0.06,0.03,0.03,9,1.76,0.38,0.22,1.35,0.07,0.16,0.04,0.08,0.16,2.35,0
Level 161,99,178,1%,1%,1.13,9.37,14%,29%,6%,185,238,8,56,0.17,0.03,0.14,0.14,0.14,0.03,0,11,2.53,0.74,0.29,2.09,0.2,0.28,0.04,0.09,0.2,3.04,0
Level 162,98,172,0%,1%,1.11,9.56,18%,16%,8%,202,296,5,44,0.24,0,0.11,0.03,0.11,0.05,0.03,12,2.35,0.64,0.35,2.1,0.21,0.29,0.06,0.1,0.18,3.83,0
Level 163,98,166,1%,1%,1.07,8.74,24%,21%,3%,176,159,7,59,0.18,0.09,0.06,0.06,0.12,0.03,0,13,2.29,1.14,0.41,2.24,0.25,0.32,0.05,0.09,0.19,3.13,0
Level 164,97,171,0%,1%,1.11,8.55,13%,20%,7%,161,278,6,31,0.2,0.03,0.07,0.1,0.07,0.03,0.03,11,2.52,0.73,0.4,2.15,0.31,0.32,0.05,0.12,0.24,3.22,0
Level 165,97,172,0%,1%,1.12,10.12,23%,34%,11%,196,223,8,12,0.23,0.37,0.06,0.2,0.09,0.09,0.03,10,2.27,0.63,0.27,2.1,0.14,0.2,0.04,0.11,0.22,3.43,0
Level 166,97,176,0%,1%,1.14,8.38,22%,14%,8%,176,266,6,24,0.5,0.08,0.06,0.08,0.11,0.08,0.06,12,2.69,0.9,0.35,2.1,0.34,0.27,0.04,0.13,0.19,4.16,0
Level 167,97,173,0%,1%,1.11,7.52,17%,11%,0%,182,203,6,95,0.19,0.03,0,0,0.14,0,0,12,2.42,0.81,0.29,1.99,0.24,0.25,0.05,0.14,0.2,3.09,0
Level 168,97,176,3%,1%,1.14,9.78,28%,23%,5%,187,202,6,16,0.38,0.38,0.03,0.03,0.08,0.03,0.03,12,2.63,0.88,0.34,1.93,0.27,0.24,0.06,0.11,0.16,4.21,0
Level 169,94,168,0%,1%,1.14,8,8%,16%,3%,182,258,5,53,0.19,0.11,0.03,0.03,0.05,0.03,0,11,2.53,0.89,0.36,2.18,0.27,0.3,0.04,0.14,0.17,3.59,0
Level 170,94,163,1%,1%,1.1,8.58,16%,18%,8%,184,213,10,40,0.11,0.13,0,0.13,0.03,0.05,0.03,10,2.44,0.82,0.23,1.71,0.27,0.2,0.07,0.14,0.2,4.95,0
Level 171,93,160,0%,1%,1.09,10,28%,22%,11%,190,189,5,92,0,0.03,0.06,0.22,0.06,0.08,0.03,10,2.54,0.79,0.32,1.79,0.27,0.23,0.07,0.14,0.19,3.46,0
Level 172,93,162,1%,1%,1.1,7.04,9%,16%,16%,187,270,5,74,0.09,0.09,0.09,0.03,0.06,0.06,0.09,12,2.3,0.77,0.38,2.08,0.27,0.31,0.05,0.14,0.18,3.8,0
Level 173,92,155,-1%,1%,1.06,7.38,12%,18%,6%,172,140,7,16,0.18,0.15,0.03,0.18,0.03,0.06,0,13,2.53,0.87,0.25,1.95,0.24,0.22,0.03,0.12,0.16,5.06,0
Level 174,93,166,0%,1%,1.13,8.74,23%,19%,13%,188,254,7,97,0.29,0.13,0.1,0.13,0.03,0.1,0.1,13,2.45,0.92,0.26,2.14,0.46,0.22,0.07,0.13,0.16,4.11,0
Level 175,93,159,0%,1%,1.08,7.95,17%,21%,14%,180,164,5,,0.21,0.31,0,0.28,0.03,0.1,0.03,12,2.38,0.71,0.41,2.4,0.23,0.34,0.06,0.14,0.17,3.79,0
Level 176,93,163,0%,1%,1.11,6.79,19%,13%,3%,182,232,7,10,0.22,0.06,0,0.06,0.06,0.03,0.03,11,2.72,0.91,0.22,2.23,0.39,0.18,0.09,0.14,0.18,3.86,0
Level 177,93,166,0%,1%,1.13,8.74,21%,18%,13%,174,255,5,33,0.16,0.13,0,0.13,0.08,0.08,0.11,13,2.44,0.85,0.31,2.34,0.35,0.25,0.07,0.14,0.19,4.34,0
Level 178,93,165,0%,1%,1.12,8.68,20%,27%,7%,186,212,4,72,0.15,0.39,0.05,0.34,0.05,0.07,0.02,12,2.33,0.69,0.37,2.08,0.18,0.34,0.08,0.12,0.19,3.39,2
Level 179,93,149,1%,1%,1.01,7.84,14%,28%,10%,176,197,6,,0.03,0.31,0.14,0.14,0.1,0.03,0.03,14,2.44,0.84,0.33,2.41,0.25,0.29,0.1,0.14,0.18,3.55,0
Level 180,92,159,0%,1%,1.09,7.57,11%,23%,11%,139,302,7,75,0.29,0.03,0.17,0.46,0.09,0.11,0.03,6,1.17,0.3,0.09,1.02,0.09,0.08,0.07,0.12,0.15,2.22,1
Level 181,92,161,1%,1%,1.11,7.67,13%,19%,9%,182,177,8,31,0.09,0.09,0,0.34,0.03,0.06,0.06,13,1.9,0.71,0.33,1.9,0.26,0.24,0.06,0.12,0.17,3.27,0
Level 182,91,157,1%,1%,1.07,6.83,8%,11%,8%,170,240,6,159,0.14,0.05,0.08,0.05,0.03,0.05,0,11,2.5,0.74,0.24,2.12,0.29,0.22,0.07,0.1,0.13,2.64,0
Level 183,90,162,0%,1%,1.13,7.36,10%,13%,15%,185,179,6,46,0.13,0.08,0,0.1,0.05,0.13,0.1,12,2.59,0.78,0.3,2.33,0.28,0.29,0.07,0.07,0.09,3.94,0
Level 184,90,150,1%,1%,1.05,6.82,3%,17%,10%,163,107,8,251,0.17,0.03,0.03,0.24,0.1,0.07,0.07,14,2.74,0.78,0.36,2.32,0.21,0.29,0.05,0.06,0.13,3.58,1
Level 185,89,155,0%,1%,1.09,6.74,10%,13%,7%,190,234,2,34,0.13,0,0.07,0.17,0.03,0.03,0.07,12,2.52,0.67,0.4,2.16,0.28,0.32,0.06,0.06,0.11,3.51,0
Level 186,89,159,0%,1%,1.12,7.57,11%,14%,5%,193,215,7,54,0.16,0.03,0.08,0,0.11,0.03,0.03,10,2.57,0.74,0.35,1.82,0.25,0.27,0.03,0.06,0.11,2.91,0
Level 187,89,148,0%,1%,1.04,9.25,21%,24%,7%,207,227,5,150,0.45,0.24,0,0.14,0.17,0.03,0.03,13,2.51,1.05,0.41,2,0.27,0.32,0.05,0.06,0.16,3.15,0
Level 188,89,158,0%,1%,1.11,7.9,13%,19%,6%,180,204,6,61,0.22,0.13,0.06,0.03,0.03,0.06,0,14,2.21,0.74,0.33,2.08,0.18,0.25,0.06,0.06,0.17,5.03,0
Level 189,89,163,1%,1%,1.15,8.58,14%,17%,8%,182,326,5,80,0.22,0.31,0,0.03,0.11,0.06,0.06,10,2.23,0.88,0.34,1.86,0.32,0.27,0.02,0.06,0.14,2.97,0
Level 190,88,166,0%,1%,1.18,7.22,8%,8%,6%,180,187,7,66,0.42,0.06,0.03,0.03,0.06,0.06,0,11,2.24,0.78,0.3,2.24,0.26,0.2,0.03,0.06,0.12,3.54,0
Level 191,88,147,0%,1%,1.04,9.19,21%,24%,7%,202,149,7,116,0.17,0.21,0.17,0.24,0.14,0.07,0,12,2.47,0.77,0.39,2.27,0.25,0.3,0.05,0.07,0.1,4.01,0
Level 192,88,158,0%,1%,1.12,6.87,10%,7%,17%,200,239,7,46,0.21,0.07,0,0,0.03,0.1,0.1,17,2.61,0.89,0.34,2.33,0.26,0.3,0.01,0.08,0.08,5.75,0
Level 193,88,150,0%,1%,1.06,6.82,9%,17%,11%,194,174,6,46,0.14,0.09,0.06,0.11,0.03,0.09,0.03,12,2.44,0.97,0.25,2.1,0.18,0.18,0.03,0.08,0.13,3.65,0
Level 194,88,167,1%,1%,1.18,10.44,19%,25%,8%,179,246,4,59,0.17,0.11,0.08,0.06,0.06,0.03,0.03,12,2.31,0.79,0.36,2.15,0.28,0.27,0.03,0.07,0.13,3.37,1
Level 195,87,149,-1%,1%,1.07,7.84,27%,18%,9%,186,260,7,70,0.3,0.09,0.06,0.03,0.06,0.06,0.06,13,2.12,0.73,0.3,2.19,0.29,0.26,0.02,0.1,0.17,3.61,0
Level 196,88,155,1%,1%,1.1,7.75,24%,8%,8%,187,173,6,64,0.24,0.05,0.08,0.03,0.03,0.03,0.05,13,2.38,0.88,0.28,2.06,0.35,0.26,0.06,0.08,0.15,3.16,0
Level 197,87,151,1%,1%,1.08,7.19,18%,21%,6%,179,265,5,97,0.09,0.03,0.12,0.09,0.09,0.03,0.03,12,2.46,0.99,0.35,1.65,0.25,0.31,0.05,0.08,0.16,6.07,0
Level 198,86,166,2%,1%,1.21,8.74,20%,17%,10%,170,244,5,45,0.1,0,0.1,0.15,0,0.05,0.02,10,2.52,0.69,0.41,1.83,0.2,0.35,0.04,0.09,0.11,2.71,0
Level 199,84,151,2%,1%,1.09,7.19,11%,16%,11%,172,193,5,70,0.19,0.27,0.08,0.11,0,0.03,0.11,11,2.01,0.73,0.33,1.98,0.27,0.31,0.03,0.07,0.13,3.59,0
Level 200,82,144,2%,1%,1.11,6.86,26%,15%,6%,139,199,3,86,0.29,0.06,0.15,0.41,0.12,0.03,0.03,5,1.21,0.39,0.11,0.83,0.11,0.11,0.01,0.07,0.13,1.61,0
Level 201,80,148,1%,1%,1.14,7.79,19%,3%,13%,180,175,6,30,0.23,0,0.03,0,0,0.1,0.03,12,2.43,0.83,0.35,2.33,0.25,0.23,0.02,0.06,0.1,3.75,0
Level 202,79,157,0%,1%,1.22,9.24,16%,18%,6%,202,171,6,63,0.08,0.12,0.02,0.14,0,0.04,0,10,2.37,0.73,0.29,1.96,0.22,0.23,0.01,0.04,0.08,2.69,0
Level 203,79,141,1%,1%,1.1,8.29,17%,14%,14%,195,342,7,136,0.17,0.17,0,0.34,0,0.07,0.1,14,2.6,0.97,0.41,2.31,0.38,0.4,0.01,0.05,0.09,4.27,0
Level 204,78,135,1%,1%,1.06,6.14,4%,4%,8%,178,103,6,143,0.12,0.12,0,0.08,0,0.04,0.04,15,2.41,0.71,0.25,2.14,0.25,0.21,0.01,0.05,0.14,3.19,0
Level 205,77,139,1%,1%,1.1,8.18,19%,11%,7%,190,313,5,146,0.11,0,0.19,0.19,0.04,0.04,0.04,15,2.53,0.88,0.49,2.05,0.34,0.42,0.01,0.08,0.15,4.56,0
Level 206,76,146,0%,1%,1.18,8.11,12%,8%,12%,193,164,8,50,0.16,0,0.04,0.08,0.04,0.04,0.08,13,2.29,0.92,0.31,2.06,0.4,0.26,0.01,0.1,0.19,3.59,0
Level 207,76,139,1%,1%,1.12,8.18,14%,10%,10%,165,258,6,221,0.21,0.03,0.03,0.03,0.03,0.07,0.07,12,2.6,0.91,0.25,2.18,0.39,0.26,0.01,0.08,0.14,3.31,0
Level 208,75,126,0%,1%,1.03,6.63,12%,8%,8%,179,136,8,22,0.16,0,0,0.08,0,0.04,0.04,12,2.29,0.78,0.34,2.37,0.43,0.26,0.01,0.09,0.18,2.52,0
Level 209,75,136,0%,1%,1.11,7.56,6%,19%,6%,196,190,8,111,0.16,0.03,0,0.1,0.1,0.03,0.03,16,2.53,0.81,0.51,2.37,0.3,0.32,0.01,0.05,0.08,4.18,0
Level 210,75,143,3%,1%,1.18,7.15,16%,6%,13%,188,241,7,108,0.23,0,0.1,0,0.06,0.1,0.06,10,2.44,1.17,0.21,2.09,0.53,0.22,0.01,0.04,0.05,2.82,0
Level 211,73,123,1%,1%,1.03,6.83,8%,12%,12%,156,373,7,7,0.04,0.04,0.04,0.08,0,0.12,0.04,14,2.37,0.86,0.37,2.25,0.43,0.28,0.02,0.05,0.09,3.2,0
Level 212,72,135,3%,1%,1.15,9.64,13%,13%,16%,181,247,6,90,0,0.16,0.03,0.03,0.06,0.13,0.06,9,2.23,0.69,0.3,1.83,0.27,0.31,0.01,0.04,0.09,3.45,0
Level 213,70,121,-1%,1%,1.06,8.07,14%,14%,9%,202,219,6,294,0.09,0.18,0.05,0,0.09,0.05,0.05,14,2.86,0.97,0.3,2.22,0.25,0.24,0.02,0.05,0.1,3.61,0
Level 214,71,134,0%,1%,1.16,8.38,13%,17%,8%,187,208,6,4,0.04,0.08,0.04,0.04,0.04,0.04,0.04,15,2.68,0.85,0.54,2.34,0.4,0.38,0.02,0.06,0.14,3.9,0
Level 215,71,129,0%,1%,1.11,8.06,21%,4%,14%,178,131,5,87,0.04,0.04,0,0.07,0,0.07,0.07,11,2.68,0.88,0.26,2.12,0.44,0.28,0.01,0.06,0.18,3.86,0
Level 216,71,132,0%,1%,1.14,8.8,13%,13%,10%,189,200,7,45,0.07,0,0.1,0.13,0.03,0.07,0.07,13,2.24,0.86,0.44,1.91,0.4,0.4,0.01,0.06,0.21,3.02,0
Level 217,71,140,0%,1%,1.21,7.37,14%,7%,18%,186,236,7,61,0.11,0.11,0.04,0,0.04,0.14,0.07,13,2.59,0.82,0.38,2.27,0.46,0.32,0.04,0.07,0.17,3.67,0
Level 218,71,141,0%,1%,1.22,7.42,9%,13%,13%,198,224,6,66,0.09,0.16,0.06,0.06,0.06,0.06,0.03,11,2.56,0.79,0.25,2.37,0.25,0.25,0.03,0.07,0.2,3.05,0
Level 219,71,128,0%,1%,1.1,8,13%,10%,10%,182,208,7,35,0.37,0.07,0.03,0.03,0.03,0.07,0.07,13,2.39,0.7,0.31,2.49,0.27,0.3,0.01,0.11,0.24,3.13,0
Level 220,71,136,0%,1%,1.19,7.56,9%,15%,6%,134,280,7,86,0.06,0.12,0.03,0.09,0.03,0.03,0.03,10,1.68,0.61,0.3,1.46,0.2,0.2,0.05,0.15,0.24,2.36,0
Level 221,71,131,0%,1%,1.13,8.73,21%,18%,9%,190,174,5,98,0.09,0.21,0.03,0.09,0.03,0.03,0.06,13,2.85,1.05,0.35,2.11,0.24,0.24,0.04,0.13,0.2,3,0
Level 222,71,128,0%,1%,1.1,9.85,33%,26%,0%,178,218,4,70,0.19,0.15,0.15,0.15,0,0,0,14,2.49,0.72,0.32,2.25,0.26,0.25,0.04,0.14,0.22,4.28,0
Level 223,71,129,1%,1%,1.11,8.06,10%,14%,17%,163,159,8,29,0.03,0.1,0.1,0.03,0.03,0.1,0.1,14,2.8,0.99,0.36,2.39,0.37,0.33,0.06,0.14,0.21,3.87,0
Level 224,70,132,3%,1%,1.17,7.76,16%,9%,9%,193,289,6,122,0.16,0.09,0.03,0.16,0,0.06,0.03,14,2.48,0.96,0.47,2.1,0.4,0.38,0.04,0.11,0.15,3.91,0
Level 225,68,122,0%,1%,1.1,7.63,18%,7%,7%,217,240,5,77,0.07,0.14,0.04,0.07,0,0.04,0,13,2.76,0.99,0.29,2.6,0.33,0.23,0.03,0.09,0.13,4.1,0
Level 226,68,127,0%,1%,1.14,7.94,13%,17%,3%,168,249,4,103,0.17,0.33,0.07,0.3,0,0,0,9,2.06,0.86,0.19,1.9,0.35,0.13,0.01,0.06,0.12,3.91,0
Level 227,68,124,0%,1%,1.12,6.89,18%,4%,4%,192,212,5,112,0.07,0.18,0,0,0,0.04,0,14,2.57,0.99,0.28,2.34,0.53,0.25,0.03,0.07,0.15,3.35,0
Level 228,68,121,0%,1%,1.09,5.76,3%,7%,7%,178,199,7,73,0.2,0,0,0.13,0.03,0.03,0.03,12,2.29,0.93,0.26,2.13,0.47,0.22,0.01,0.07,0.15,5.68,0
Level 229,68,120,-1%,1%,1.08,6.32,7%,14%,14%,167,262,5,109,0.07,0.07,0.04,0.11,0,0.14,0.11,11,2.43,0.74,0.33,2.19,0.39,0.29,0.04,0.1,0.17,3.25,0
Level 230,69,130,0%,1%,1.15,6.84,6%,15%,3%,195,218,5,32,0.09,0.24,0.03,0.06,0.03,0,0,12,2.34,0.81,0.31,1.93,0.43,0.24,0.01,0.09,0.19,3.61,0
Level 231,69,123,1%,1%,1.09,6.83,14%,14%,4%,167,223,5,86,0.04,0.11,0.04,0,0.04,0.04,0,13,2.26,1.06,0.46,2.09,0.48,0.32,0.03,0.09,0.17,2.27,0
Level 232,68,123,0%,1%,1.11,8.2,16%,16%,13%,180,168,7,82,0.03,0.06,0.06,0.16,0.06,0.1,0.03,14,2.54,0.93,0.23,2.71,0.38,0.17,0.01,0.09,0.17,3.4,0
Level 233,68,126,0%,1%,1.14,7,13%,13%,10%,191,214,6,117,0.26,0.06,0.03,0.1,0.06,0.06,0.03,13,2.34,0.94,0.36,2.61,0.43,0.26,0.01,0.09,0.17,3.78,0
Level 234,68,126,0%,1%,1.16,6.63,23%,10%,6%,155,290,4,105,0.06,0.06,0,0.06,0,0,0,10,2.15,0.81,0.26,1.96,0.34,0.21,0.01,0.1,0.16,5.06,0
Level 235,68,124,0%,1%,1.12,5.9,11%,7%,7%,155,275,8,29,0.32,0,0.04,0.07,0.04,0.07,0.04,12,2.55,0.64,0.25,2.45,0.24,0.21,0.01,0.1,0.13,2.48,0
Level 236,68,132,0%,1%,1.19,6.95,18%,3%,3%,194,160,6,83,0.06,0,0,0.03,0.03,0.03,0,11,2.18,1.1,0.34,2.25,0.4,0.22,0.04,0.1,0.14,2.98,0
Level 237,68,117,1%,1%,1.05,6.5,11%,25%,7%,179,275,5,8,0.18,0.07,0,0.11,0.11,0.04,0,15,2.54,0.8,0.37,2.34,0.34,0.35,0.06,0.08,0.12,4.13,0
Level 238,67,125,0%,1%,1.13,6.58,11%,15%,7%,187,311,8,105,0.19,0.07,0.07,0.15,0,0.04,0,10,2.41,0.73,0.3,2.16,0.37,0.25,0.01,0.07,0.12,3.47,0
Level 239,67,119,0%,1%,1.08,7.44,17%,17%,10%,168,160,7,170,0.17,0.07,0.21,0.24,0,0.07,0.03,15,2.43,0.9,0.36,2.4,0.4,0.34,0.01,0.07,0.09,4.58,0
Level 240,67,120,1%,1%,1.09,6.67,19%,13%,10%,136,257,7,45,0.1,0.48,0.03,0.1,0.06,0.06,0.03,7,1.14,0.58,0.18,1.06,0.15,0.14,0.02,0.08,0.11,1.85,0
Level 241,66,114,0%,1%,1.06,5.18,8%,4%,8%,174,141,8,55,0.23,0.04,0,0,0,0.08,0,16,2.63,0.85,0.3,2.33,0.35,0.22,0.03,0.07,0.13,3.07,0
Level 242,66,131,2%,1%,1.21,7.28,9%,12%,3%,156,191,7,50,0.12,0,0.06,0.06,0.06,0.03,0,12,2.15,0.79,0.32,2.07,0.28,0.31,0.01,0.06,0.13,3.54,0
Level 243,65,131,0%,1%,1.24,6.89,11%,6%,3%,171,288,5,113,0.09,0.03,0,0.03,0.03,0.03,0,12,2.37,0.75,0.24,2.19,0.35,0.17,0.01,0.04,0.15,3.44,0
Level 244,65,127,0%,1%,1.2,7.94,15%,18%,12%,197,309,5,70,0.09,0.09,0.09,0.15,0.06,0.09,0,12,2.71,0.94,0.33,2.24,0.38,0.22,0,0.04,0.15,3.46,0
Level 245,65,118,3%,1%,1.13,5.9,12%,9%,6%,180,166,7,66,0,0.09,0.03,0.03,0.03,0.06,0.03,14,2.68,1.03,0.42,2.49,0.46,0.28,0.01,0.04,0.13,3.1,0
Level 246,63,117,2%,1%,1.16,7.31,11%,15%,4%,171,232,2,90,0.11,0.04,0.04,0.11,0.04,0.04,0,11,2.32,0.75,0.28,2.22,0.4,0.28,0.03,0.07,0.13,3.21,0
Level 247,62,108,0%,1%,1.07,6.75,19%,7%,4%,188,217,6,96,0,0,0.04,0.04,0,0.04,0,12,2.69,0.69,0.36,2.28,0.22,0.25,0.05,0.13,0.17,2.83,0
